"cloud number" xcm ycm zcm mass r_90 vdisp_x vdisp_y vdisp_z alpha_vir alpha_vir_s
88 -6.7401169338709 -3.7079564372245883 0.31133077175129853 3825810.0654296875 0.07245807488948233 23.24211532686801 19.370167318812108 21.99758559564701 10.26922886562032 5.870274147008329
89 -3.826541326847394 -2.328004452304506 -0.20813138396542932 4254756.6708984375 0.08631896393858686 43.23257630167678 20.280187008827568 37.23269824581698 28.82455538712073 14.94851752858712
90 -5.059772533978641 -3.3552956460229333 0.36128213261717573 3824549.4936523438 0.06444826982249692 44.92609570378577 35.43203275600159 13.35060017169251 22.540847247123512 13.901574005923424
91 4.249033006554011 2.3814872382186874 -0.15412469833048964 3855129.4189453125 0.06836071468766848 18.382415531934736 22.54979413647842 20.565059451841357 8.721823287510107 4.979408729443617
92 -4.605301511234121 -0.7011875976879518 0.22008285251115023 4008500.0859375 0.057631033839529756 28.43453118408686 75.771344229888 42.29613707000757 46.45611780437742 30.617563097495456
93 -7.087909375993832 -2.36622112002687 -0.1799504015383993 3703712.4296875 0.07843300191338634 23.74201203646996 36.6581876830606 27.07308282537835 21.667387456113342 11.223233344987165
94 -3.360589561323561 4.759826705555501 0.2949562012374874 3762468.513671875 0.07781493537958276 55.22631690983762 32.511517208829 21.169394845085662 36.50502329034222 23.19370768015039
95 -7.344643873967097 -2.2564981962315223 0.40129050025516877 3582826.8154296875 0.08013470232296012 12.290611444726546 19.213244800936348 9.338412452925262 5.264356176670303 2.7624939223489697
96 -4.40479503116506 2.9405033935672202 0.25816249749945624 3715543.3154296875 0.08408514864078818 25.441484294182878 23.565216001827814 19.696284422044762 13.947782944191692 7.192905312130735
97 1.3868077533668042 -4.322562976602757 0.23036244963562352 3813217.431640625 0.08484738223661922 27.81266910402275 30.64021741730999 29.721242578493403 22.380533764771 12.552462192894469
98 2.3461387435493566 0.25869309440299626 0.380451361959972 3978223.2666015625 0.06217934340133446 12.846396821465754 11.391760798190464 11.380709840614625 2.5699163473032733 1.4846171392862393
99 -4.836814890918662 5.6147577776415245 0.16572764626063038 3663777.3505859375 0.0474149019894199 24.627023550200054 38.049387132552646 33.73530639146155 16.008755132823723 10.046842272292462
100 1.5287846695426448 -4.58561075738806 0.29600470700139475 3594524.681640625 0.06908786658620951 13.928959290533774 8.295300696598876 14.078686259527352 3.433698525387825 1.9994017357329166
101 -5.205061148514222 -0.7512661296758535 -0.26322453239348903 3805534.1689453125 0.09118849854259156 18.90327806242088 34.08605231507601 30.232220717339864 22.592508159289345 12.462382973959983
102 -4.898329549512421 2.2292155584842948 0.8792735134327455 3188694.9716796875 0.07637172844839656 4.597449519146079 10.434193138925158 12.128892917699543 2.5718856956213276 1.375524111743476
103 -6.095731603158353 4.442851545038246 -0.3749655539575156 3262709.6440429688 0.10152429087962138 7.27503545422527 9.336627383892916 11.276430998038917 3.2224472426296322 1.6803458529978315
104 -6.663352474280471 1.9366003227446453 -0.21489492507063002 3193101.0859375 0.08270911269058684 7.896112796185298 6.617817921278662 7.60227372356005 1.6454620918474827 0.7651051045276244
105 -7.110547201389 0.160530152134331 -0.4450683564120888 3064861.9340820312 0.060641457173226464 9.951035897357778 23.240046157439828 28.360343431144795 11.066767487882256 7.299010022311365
106 -5.881765764181446 -3.4327619344991036 0.10326128341035151 3124323.2905273438 0.0683206344973994 12.680526291898811 20.804967783632605 22.286522353566347 9.23889962769673 5.297839254150895
107 7.074289694879306 1.726842716653073 0.17688952591814458 3193917.646484375 0.056526642823023894 6.554244567642756 13.285369475076998 6.477787297869712 1.7928152292366923 1.1305278051426848
108 6.632627120584915 2.2978119037757696 -0.0059568070405349345 3167381.880859375 0.07246778982043797 10.219918471890047 10.880220972232443 5.665225106892342 2.2600366462717076 1.28349575303983
109 -5.278663234006136 -0.4648836034171775 -0.1039272756180572 3315624.4228515625 0.0525346633456593 19.31064105303296 37.53052999485831 23.221452906641193 14.248237977394833 8.958571694176433
110 0.1991090382007967 -5.005643287372531 0.20661737371102926 3145907.0659179688 0.06974479583076178 32.70324137308053 14.376294223531824 24.611645613070163 16.167065802579494 9.980475743566531
111 -0.7907081816470793 -1.0404980938768549 -0.3140723302705513 3047454.3422851562 0.08371062180397411 33.203625522661326 35.694721094963626 38.66174655330452 41.206781826749754 19.733582350279196
112 -7.0698647857223476 -2.345654440856266 0.2780540634752346 2951809.482421875 0.06381221104969508 16.018800553832374 14.2457148122292 22.301403472853437 8.015774605994029 4.700967034637437
113 2.787724869539456 -3.6999345745414813 -0.3712530024691706 2839364.0126953125 0.0679328393712281 13.389015342200295 6.053573749504498 7.243526723155334 2.48814033872774 1.406690533317956
114 -5.103980711402432 -4.615009475463969 0.07762571367249699 3069934.7548828125 0.06557407727723001 5.414267181478574 12.541557655786747 8.411066019655166 2.130073774820104 1.3374423318424802
115 0.2743853599265373 -0.7475609251762275 -0.09366103735479273 3501337.265625 0.07394764424488383 41.17818370975562 95.47696819499288 30.243632909457695 95.96489743498434 55.43742280160418
116 3.6722735544915404 -0.7896563225034001 0.07338553025852557 3083491.2133789062 0.06559479163416326 12.680214867472447 5.987042411800864 7.733963636148235 2.1139248809827125 1.2576315516106922
117 -6.271963050618787 -0.8136636567257918 -0.055899217400716995 3059908.19921875 0.06523763962739074 21.097944193638586 16.419212323928363 12.463984299320355 7.187984726031042 4.476740965307323
118 -4.225782652612846 4.422411929108376 0.14333001777638424 3033241.6860351562 0.05248816280231939 9.810354234535826 8.056795916495922 18.23161063794652 3.3093927718513183 2.1269698775836168
119 -6.830078629706033 -3.12372351133022 -0.2301265608235087 2913467.2783203125 0.07205106458519438 10.121316529525759 10.871223644366362 7.927669081386833 2.716482647117342 1.5781228708462836
120 -8.335273187691525 -2.1553496344713223 0.0067175825643895435 2792521.1293945312 0.10475455865210949 12.489716546047841 7.851172854201658 14.63131494904029 6.275287690654178 2.9967400820530523
121 -5.09766748023307 -0.9718316662931216 -0.1275697510574598 3136868.9208984375 0.0489826792082044 14.528869407306578 17.94474318073503 19.71740663360547 5.578088065134256 3.477052199771867
122 2.5131584469365946 3.5407290951840973 0.25853982303185014 2954407.1069335938 0.07898801420513192 11.512585678719681 14.188873248281395 11.211275163399948 4.760970356159173 2.5438084766424853
123 4.042720587148972 -3.653676094062819 0.17327844645460022 2954441.2163085938 0.07283500369276365 29.56350461335984 15.613713203707286 16.831847646300403 13.384423468528864 8.174037389903907
124 -3.8221182926559814 -2.504554386815087 -0.47200055692568443 2951810.349609375 0.05686459168962173 23.78932283919854 14.221527178474116 34.422539740402556 14.579498783211443 9.038040473090518
125 7.7265651247199 0.08327713534730061 0.6663448313234606 2791012.60546875 0.07532922284162653 12.906503958579618 9.333124337120612 8.050488465550856 3.3309693759983774 1.8647011780779261
126 2.7663890242713274 -4.892983758568701 -0.3259314773811833 2810942.9936523438 0.054765656766356786 16.130872582527154 12.079311644061805 11.17847975768418 4.009372739909313 2.4956075827824002
127 -4.512220457264402 0.9754199806877223 0.08924471575035776 2765160.1225585938 0.06684513650539071 14.062083404519298 10.95522411115387 15.133634767544264 5.121918899399739 3.1038109679613215
128 -4.775882051772849 -0.41369924557999765 0.06904761621033334 2828862.5952148438 0.04746763781008239 44.107565888654044 40.919022974016215 35.40110817690538 31.685113791406476 19.143540360366003
129 -3.3663742944173367 -1.0494714683135022 0.3484341946983625 2930806.4272460938 0.05886315291676135 24.220227676089365 35.62846866555961 26.495968014665653 19.90811206995537 12.015013576319351
130 -1.0612251254468825 -0.22421906566505692 0.03787519078566862 3204552.3227539062 0.0728662151907681 40.9640018468363 14.023841901908618 23.83432401771435 21.523416017410202 12.304844799608805
131 -5.314805801156787 -1.7663862117134905 -0.21702567362015035 2807704.5864257812 0.06987684751755276 11.425910326992186 9.776141750312682 6.556915423667394 2.595312245242917 1.5107712565207168
132 -8.166286413749065 -1.077724042389957 0.52502166663478 2611191.6875 0.0662881139178775 20.3030316788822 4.557205262285738 7.576566668562933 4.823922898272214 2.910410767321498
133 -9.392269294671124 1.5239706469823986 0.4528031996237025 2559175.875 0.05849354390987999 8.25664444094674 7.550695375682988 5.63738860810865 1.3902000360260676 0.8671086418852381
134 3.9052100654614947 -4.228842951134019 -0.5746073512110644 2931584.1342773438 0.0698209546360249 13.936307219487992 16.63218945683594 15.450563033212102 6.5485417357120665 3.8186189334259737
135 -3.891244844116374 4.640645407153524 -0.07846276241283397 2614031.0 0.046703129847640905 13.096682182769154 17.52649145494072 11.71091767181771 4.263571468396457 2.8240458004093867
136 -6.547599700746075 -3.759435768153144 0.19559155993158628 2486024.6474609375 0.08058761264387883 8.09890725386629 16.861445529885234 14.282576068168726 6.957515818262555 3.854318515529999
137 2.6564211367065096 3.224009737103559 -0.1855543030592709 2695483.1879882812 0.07311550182523284 16.958529040036765 16.861020771272553 12.6988202172502 7.70599864049782 4.278710729427197
138 -8.064682640222404 -1.4002340376211027 0.6598806040014438 2405872.5014648438 0.06003034699413506 16.167701466083933 14.798232755453752 21.37046464952296 9.060250856029182 5.779529767753799
139 3.344343843274454 -0.5467003795424757 0.14329334125596593 2570893.0913085938 0.07696889243824662 25.326940622476332 12.43079730975817 16.40048008403299 12.35458009307903 7.36379207208616
140 5.826050547102522 2.526934451053036 -0.13828649321082667 2622774.0385742188 0.054773081558682817 8.8826263741828 10.794801234841689 13.701556531485377 3.1006579013166182 1.8915249667521379
141 -6.617656333367474 2.2232211264434008 -0.32061888976555736 2390197.8369140625 0.08349717522401036 17.607982742599894 7.688907454099515 10.928481538544338 6.613785456273574 3.3931435029804438
142 3.387285661612756 -2.933229078534213 -0.11152100865700183 2572685.3212890625 0.0760943431007937 11.218439133238672 24.947199056388246 13.498444674421096 10.663810719213894 6.331317002796736
143 7.972454780200816 -0.16627338405721245 0.7778604255306867 2567044.255859375 0.09127097921831757 11.93055400910196 14.114309996934193 8.402825517717568 5.678455979112147 2.748539813848049
144 -1.4874807133756356 -1.0422372411296545 -0.411017979114692 2628587.6796875 0.04268630626169402 32.222305367307285 16.128120417630225 27.945304603127084 13.084465117240267 8.967202036034486
145 8.048004348249853 0.8548226964367991 0.5471881428082455 2585565.9892578125 0.0679104883601568 15.084992433500265 22.461627767400618 23.631939972007423 13.134753481671545 7.32751251059285
146 1.6750282585181173 -4.836611084174638 0.3281783774953545 2421494.2651367188 0.04614190388166695 9.73174688552919 8.720986262088946 11.936268405762155 2.312868202324145 1.5748765150240165
147 -6.234311285468161 -3.466801198733792 0.3156202212863444 2276557.4926757812 0.08025816705559331 7.1113018687310845 9.720089603335003 12.093904186079873 3.979574603140023 1.99899810038146
148 -1.3558213824233545 -4.887340342915679 -0.1845707852827421 2274387.45703125 0.061820988907315126 10.243134837168085 16.429805869666144 12.630863484582994 5.628632970737879 3.3473598485191283
149 3.98741497517642 2.604723520647116 -0.1086669818835788 2370449.212890625 0.062285793647733755 18.13145705765539 19.97874206029741 24.018778899303612 13.28521515736089 7.308624138056066
150 -1.0059658975855252 -0.3306345693354605 0.25826769064394306 2724364.6909179688 0.07035379033507903 20.914437448062802 24.84012179052824 49.55347780135876 35.123210579743365 21.169999412816672
151 -5.489113034800955 -4.236041567918363 -0.3997807780256814 2351121.9013671875 0.07189142595764102 16.1675717672711 17.227869247362452 20.42831073438061 11.558395178975719 6.40256802386327
152 4.40215321224117 3.0257797873666914 0.35522923538758605 2503187.2373046875 0.05478964009755463 21.997568463735288 33.14390683761444 49.59413933570421 34.28199859680712 21.114078370723462
153 8.43913656247566 -1.1002990312840597 0.045114372433505 2464574.12109375 0.048358424787605755 13.340969533347982 11.866700653774611 8.662283515809923 2.994405154369924 2.0869671668680607
154 -0.8443956078167886 -0.3542446649069912 0.3523556077706214 3049642.3369140625 0.06461675449243852 42.610233669339515 21.112527800449328 21.535543960700572 22.37445600907919 14.357595641040849
155 -6.630344419447866 -3.4792812522350736 -0.16719272941506255 2347120.5556640625 0.0734897078393112 6.029325706668929 13.30964032574117 9.926857086149234 3.78590436763907 2.228892995918153
156 2.223201210369313 -2.9894066212771384 -0.36843294699665596 2454297.3393554688 0.06819775714432108 16.751451256616207 16.74884183400387 8.845812879365065 6.884460555487434 3.917147160424159
157 3.2383713228213473 2.446746800839991 -0.3430646564640323 2490617.439453125 0.07000556490301808 30.98473500746813 13.84967145645966 15.468531731057796 15.15175623382987 8.605928329318692
